POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTH_CUM_CP
24,51,44,51,60,75,72,61,27,0,3
22,31,214,177,62,46,24,9,0,0,2
84,126,239,194,159,171,125,74,24,8,9
65,76,80,110,82,81,55,49,56,34,7
99,107,339,287,139,147,110,71,37,0,12
42,56,196,142,87,99,94,41,15,0,3
226,334,264,360,351,355,264,129,93,21,23
129,192,172,215,180,222,133,89,20,0,3
161,232,263,275,299,291,250,145,49,12,10
92,163,237,219,195,200,188,104,42,20,12
78,77,499,327,98,78,50,13,0,0,2
37,54,32,60,63,84,103,73,32,0,1
74,100,84,115,117,168,171,104,46,10,12
224,241,238,354,256,209,146,63,30,7,4
118,123,160,165,146,123,112,81,37,11,1
94,133,175,198,172,154,80,52,25,0,6
94,143,134,142,128,85,48,19,5,0,4
167,225,243,235,188,162,97,54,30,11,14
130,281,437,416,370,258,151,83,27,5,3
122,145,190,274,183,150,122,45,14,6,8
137,194,183,222,259,265,222,103,36,8,9
57,68,71,94,62,55,82,44,12,0,4
166,258,383,458,324,338,220,106,27,9,19
136,122,186,175,128,149,78,46,12,0,1
150,309,220,273,300,342,242,110,52,6,9
65,105,122,116,115,170,130,94,35,0,8
118,173,77,86,136,148,112,52,26,5,4
63,108,67,106,98,106,104,60,30,8,6
52,49,217,173,112,70,53,15,7,0,5
201,321,342,317,253,148,96,30,14,0,10
334,428,277,476,511,302,172,59,24,5,13
12,36,31,37,46,53,101,55,32,8,3
228,401,431,461,476,448,196,70,49,17,30
130,222,127,159,218,265,144,54,36,17,11
69,86,209,267,144,125,96,39,23,5,4
111,129,176,247,189,194,230,78,48,8,11
51,35,115,82,48,46,31,11,0,0,4
43,29,113,92,73,74,80,25,0,0,1
36,44,194,147,104,149,94,76,22,5,17
175,204,225,260,210,184,113,46,42,22,11
121,342,740,213,135,128,128,60,54,30,10
78,119,142,160,170,137,120,74,19,0,14
15,25,62,53,27,27,36,14,0,0,4
55,69,129,133,93,88,67,40,20,0,0
139,206,217,270,179,204,121,58,23,6,11
77,87,151,127,82,117,115,37,14,10,5
51,121,146,164,228,248,213,92,33,8,11
29,66,74,79,73,107,111,70,32,11,11
167,268,402,344,257,316,238,134,111,41,20
97,196,252,276,241,363,276,114,55,16,25
122,138,233,239,189,164,97,55,12,0,9
215,346,778,340,224,160,135,88,26,6,12
17,23,201,104,67,47,39,24,36,38,7
53,74,204,133,101,63,45,25,11,0,4
76,140,174,170,167,179,108,44,34,10,5
182,220,326,374,253,201,112,74,23,6,9
104,198,239,326,191,187,100,77,26,6,6
162,224,248,280,234,289,175,137,47,13,15
51,80,93,100,106,199,113,51,29,6,6
73,89,133,124,118,68,46,30,9,0,4
64,121,182,176,134,131,88,46,36,11,12
181,213,284,285,253,160,98,70,52,25,5
73,134,122,140,172,179,173,89,31,0,13
72,111,159,190,144,113,75,28,0,0,5
153,200,227,240,212,150,99,47,20,6,2
135,265,668,261,216,170,100,45,21,5,2
63,150,137,146,152,177,145,77,34,5,11
65,119,197,168,138,147,122,68,38,17,9
279,515,392,469,457,443,357,165,64,28,26
57,53,101,102,78,72,73,55,35,15,9
46,131,285,125,119,78,82,37,14,0,7
180,237,254,233,193,125,76,42,16,17,6
127,162,119,187,163,137,97,60,18,8,2
64,90,125,138,126,91,68,25,6,0,1
99,92,225,189,146,173,127,71,46,15,19
54,72,58,95,88,93,84,61,35,13,8
50,52,148,196,111,71,50,22,0,0,5
75,97,111,112,98,88,74,30,11,0,5
122,167,244,253,181,207,161,97,80,32,26
81,106,230,281,203,164,192,90,44,16,13
140,216,147,206,205,237,155,87,42,24,7
141,147,246,265,171,116,70,38,14,0,6
52,104,128,132,138,79,74,26,0,0,3
118,149,202,264,190,193,149,93,20,0,4
105,226,300,229,163,195,89,54,27,14,10
126,201,251,238,197,154,113,57,34,17,12
19,94,489,92,32,34,43,14,6,0,2
67,79,113,120,65,55,52,27,17,0,8
279,465,356,457,426,361,277,115,32,7,6
165,218,139,228,204,183,142,75,26,5,7
56,105,86,115,118,165,150,103,45,17,11
80,124,148,167,126,117,85,52,17,5,4
135,179,150,230,253,306,242,107,39,11,8
39,70,100,98,69,57,34,20,7,0,4
104,188,208,264,212,216,151,65,26,0,8
62,113,155,147,174,118,122,68,48,26,23
158,184,398,349,238,223,197,131,38,16,19
136,296,270,312,367,408,329,168,58,29,16
63,124,130,133,96,103,56,17,8,0,7
50,75,65,106,117,110,79,41,25,0,5
28,65,97,85,56,43,43,20,8,0,7
182,282,288,378,288,346,275,126,49,10,11
57,90,70,99,85,101,67,50,12,0,3
79,70,128,134,93,85,66,52,13,0,0
84,160,150,202,129,170,148,79,32,0,3
86,149,185,177,133,107,50,34,9,0,8
49,58,50,62,60,78,83,35,17,0,3
69,150,130,184,187,199,161,82,43,26,18
114,175,213,248,202,189,173,138,111,52,47
58,73,63,84,72,159,221,113,50,13,6
31,55,62,70,76,93,83,42,26,6,4
62,77,87,111,129,145,108,54,17,0,7
103,156,211,194,176,176,147,69,41,13,14
64,104,157,194,144,132,111,45,14,5,5
138,210,147,187,168,158,86,51,24,15,5
118,158,194,231,200,158,105,70,26,0,3
97,156,165,149,158,200,163,69,33,7,10
95,184,228,287,271,292,207,102,35,7,11
25,50,53,45,58,53,95,54,19,5,6
129,181,336,296,213,196,169,62,43,7,10
53,86,102,113,77,61,33,28,12,0,4
54,73,111,104,80,112,85,50,28,0,3
81,120,301,243,204,198,114,78,19,0,9
92,117,125,183,161,159,166,106,60,21,21
73,131,120,159,157,205,172,92,31,5,10
59,83,99,109,94,135,115,81,25,0,7
125,236,270,317,279,277,164,86,61,12,12
58,100,118,135,156,194,154,90,60,31,12
96,153,203,221,172,146,114,37,19,0,8
44,96,102,124,120,135,113,65,58,20,6
49,142,72,98,135,157,135,72,28,0,7
180,284,353,429,327,355,204,149,81,26,17
127,158,347,314,291,197,181,81,47,18,16
60,221,326,171,141,138,73,30,9,0,2
76,125,162,139,139,158,120,61,43,16,13
113,157,240,213,167,125,110,55,25,8,6
55,59,83,97,64,80,42,23,7,0,1
108,190,264,250,241,218,203,82,56,32,22
33,42,40,70,41,23,20,7,6,0,4
88,136,149,168,140,163,107,95,73,30,24
72,95,155,178,176,142,135,54,29,0,5
61,88,74,127,87,89,59,33,0,0,1
88,163,160,192,201,169,176,133,100,44,46
185,246,262,249,218,151,117,47,20,0,12
115,148,166,216,220,184,134,81,24,5,7
72,137,196,157,168,221,180,112,73,49,25
123,205,213,231,203,140,112,81,39,7,12
115,163,251,235,195,151,91,32,15,5,14
106,173,192,181,233,240,172,84,19,9,8
139,185,212,258,201,129,78,32,16,5,9
134,254,247,290,249,287,229,138,70,21,18
229,295,529,441,354,264,183,58,21,6,18
125,142,110,118,148,176,150,57,30,0,3
75,59,181,197,122,91,67,17,8,0,5
113,128,324,236,109,94,39,17,0,0,1
68,114,115,154,141,166,124,55,19,0,8
64,111,103,139,95,134,97,50,28,0,4
164,228,233,261,246,263,227,148,79,18,23
133,159,251,329,213,161,111,101,117,95,19
57,77,126,133,93,92,51,21,6,0,2
126,214,194,247,232,262,180,139,113,41,35
91,141,183,204,177,174,151,54,16,0,13
39,79,282,74,50,27,28,11,0,0,2
46,61,55,69,49,35,31,14,0,0,5
24,44,50,56,85,149,100,67,22,0,9
47,73,121,123,97,85,68,63,70,45,27
141,213,219,259,235,242,129,82,43,10,10
99,162,162,223,206,282,215,219,101,51,50
93,72,190,151,118,78,55,31,11,0,1
210,226,205,299,225,231,185,58,20,6,4
247,289,586,504,377,396,270,182,129,62,21
65,100,108,121,120,87,55,40,7,0,1
19,300,234,51,38,44,34,19,6,0,0
154,189,299,285,200,135,96,23,13,0,9
139,226,303,277,219,198,162,108,97,58,28
94,141,218,223,188,161,142,86,30,10,10
36,84,69,66,98,103,92,52,29,0,4
193,318,261,307,319,319,247,155,83,34,23
66,100,83,95,133,131,195,99,60,20,13
211,332,430,436,356,318,226,113,121,52,38
92,171,173,186,196,195,146,103,66,17,23
221,318,245,320,313,308,185,102,45,11,16
68,125,156,194,142,155,87,55,18,0,7
13,8,411,133,38,59,57,33,12,0,2
63,96,114,153,141,146,129,121,56,21,15
231,286,265,358,338,313,186,118,39,8,7
98,107,236,175,147,145,86,39,43,13,7
146,236,322,340,214,280,147,132,34,8,11
97,139,264,232,165,152,102,44,10,0,8
171,269,257,282,278,271,204,120,46,13,7
225,337,410,406,327,304,212,188,65,23,8
135,192,196,203,182,97,47,21,8,0,5
88,184,235,240,233,304,223,103,84,33,25
191,297,312,307,309,240,141,84,35,9,8
57,140,130,157,128,160,149,108,31,8,12
86,95,105,142,97,103,66,38,12,0,0
358,564,301,442,491,361,191,100,30,7,7
102,158,132,161,191,195,190,136,41,7,11
112,168,156,152,146,214,200,75,25,0,10
113,242,125,153,227,255,117,35,11,8,5
97,168,233,255,224,176,141,42,28,0,12
68,37,209,221,74,29,11,0,0,0,1
259,315,345,397,352,297,233,136,68,30,18
46,51,163,141,60,55,51,27,19,0,1
77,121,113,128,167,148,152,114,83,41,35
36,56,67,72,92,99,92,56,31,6,11
56,82,93,87,84,168,231,142,46,0,13
89,72,159,153,58,48,25,7,0,0,1
232,322,464,417,397,373,201,157,76,23,14
117,216,165,240,243,291,225,162,84,23,15
202,253,272,388,328,262,155,100,44,19,23
179,316,282,292,247,176,113,39,19,0,17
64,98,310,235,134,114,91,43,44,23,7
104,175,151,183,188,198,162,85,55,16,12
56,84,326,503,380,271,190,77,32,6,12
131,99,178,180,115,87,61,17,6,0,5
130,149,207,212,193,158,93,51,30,6,3
81,88,96,138,153,182,141,55,30,0,9
173,216,161,196,207,187,160,86,40,14,6
101,133,126,137,106,113,62,41,0,0,5
149,219,162,239,219,236,165,79,24,5,7
108,137,222,249,181,181,158,115,63,28,22
94,122,86,161,117,143,102,45,26,0,2
138,158,158,219,221,318,232,97,36,7,5
19,46,51,43,40,78,109,64,27,0,4
5,27,477,155,36,37,39,46,26,6,13
73,111,99,155,103,100,52,16,5,0,2
229,270,455,425,339,243,140,61,19,6,3
69,64,100,75,49,48,31,10,0,0,2
276,355,488,516,407,350,281,187,131,81,38
40,76,114,110,87,65,46,26,9,0,0
138,138,267,227,123,140,133,104,73,52,16
125,181,323,246,230,221,144,74,43,9,7
104,131,158,204,179,248,205,101,30,5,10
43,61,52,84,70,80,76,39,8,0,1
33,91,115,114,113,131,96,50,19,6,3
77,206,122,121,164,202,126,72,17,0,6
99,165,165,178,147,143,109,93,74,23,8
78,128,134,167,166,135,122,111,116,28,21
167,259,153,244,259,283,242,90,36,5,8
47,73,76,88,88,151,113,72,17,0,9
35,53,51,63,51,66,72,63,26,5,3
129,176,191,223,180,109,98,42,19,6,15
68,81,124,178,132,120,123,61,29,7,8
112,176,206,175,170,117,62,28,7,0,9
157,191,121,192,196,179,161,110,65,28,16
163,248,251,310,266,247,159,75,27,7,8
46,87,142,57,59,62,54,14,0,0,7
92,202,265,277,227,184,142,82,26,9,7
25,41,46,47,68,133,177,139,75,14,17
109,182,177,225,239,243,179,86,34,11,6
94,480,632,177,132,117,91,40,18,0,2
76,136,155,171,154,126,73,39,25,0,2
155,230,286,321,225,193,159,84,34,11,11
125,210,258,281,230,218,172,81,83,24,31
40,86,69,102,92,103,94,66,18,0,6
46,166,601,47,29,28,26,0,0,0,1
52,93,102,126,131,191,148,68,28,13,11
35,75,51,69,87,106,92,66,20,6,3
18,32,35,35,40,56,66,39,16,0,6
162,207,128,205,200,192,154,59,14,0,3
197,261,347,384,320,244,190,64,40,15,10
36,74,105,95,101,156,112,57,41,0,5
87,125,140,164,156,158,142,80,32,11,9
112,143,120,186,195,196,179,94,74,46,13
211,304,330,402,391,354,269,179,90,44,30
97,168,207,196,171,144,89,58,22,10,6
45,109,100,134,140,173,127,55,34,0,9
89,153,286,241,202,213,126,69,40,10,9
90,163,159,194,190,199,155,90,46,6,8
104,156,256,264,206,196,171,95,55,7,16
98,179,221,239,239,298,210,152,79,29,15
